country,player_name,position,age,birthday,club_team
Czech Republic,Matěj Kovář,Goalkeeper,26,2000-05-17,PSV Eindhoven
Czech Republic,David Zima,Defender,25,2000-11-08,Slavia Prague
Czech Republic,Tomáš Holeš,Defender,33,1993-03-31,Slavia Prague
Czech Republic,Robin Hranáč,Defender,26,2000-01-29,TSG Hoffenheim
Czech Republic,Vladimír Coufal,Defender,33,1992-08-22,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,Defender,23,2003-03-08,Slavia Prague
Czech Republic,Ladislav Krejčí,Defender,27,1999-04-20,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,Midfielder,35,1990-08-08,Hradec Králové
Czech Republic,Adam Hložek,Forward,23,2002-07-25,TSG Hoffenheim
Czech Republic,Patrik Schick,Forward,30,1996-01-24,Bayer Leverkusen
Czech Republic,Jan Kuchta,Forward,29,1997-01-08,Sparta Prague
Czech Republic,Lukáš Červ,Midfielder,25,2001-04-10,Viktoria Plzeň
Czech Republic,Mojmír Chytil,Forward,27,1999-04-29,Slavia Prague
Czech Republic,David Jurásek,Defender,25,2000-08-07,Slavia Prague
Czech Republic,Pavel Šulc,Forward,25,2000-12-29,Lyon
Czech Republic,Jindřich Staněk,Goalkeeper,30,1996-04-27,Slavia Prague
Czech Republic,Lukáš Provod,Midfielder,29,1996-10-23,Slavia Prague
Czech Republic,Michal Sadílek,Midfielder,27,1999-05-31,Slavia Prague
Czech Republic,Tomáš Chorý,Forward,31,1995-01-26,Slavia Prague
Czech Republic,Jaroslav Zelený,Defender,33,1992-08-20,Sparta Prague
Czech Republic,David Douděra,Defender,28,1998-05-31,Slavia Prague
Czech Republic,Tomáš Souček,Midfielder,31,1995-02-27,West Ham United
Czech Republic,Lukáš Horníček,Goalkeeper,23,2002-07-13,Braga
Czech Republic,Alexandr Sojka,Midfielder,23,2003-04-02,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,Midfielder,18,2008-06-07,Sparta Prague
Czech Republic,Denis Višinský,Forward,23,2003-03-21,Viktoria Plzeň
Mexico,Raúl Rangel,Goalkeeper,26,2000-02-25,Guadalajara
Mexico,Jorge Sánchez,Defender,28,1997-12-10,PAOK
Mexico,César Montes,Defender,29,1997-02-24,Lokomotiv Moscow
Mexico,Edson Álvarez,Defender,28,1997-10-24,Fenerbahçe
Mexico,Johan Vásquez,Defender,27,1998-10-22,Genoa
Mexico,Érik Lira,Midfielder,26,2000-05-08,Cruz Azul
Mexico,Luis Romo,Midfielder,31,1995-06-05,Guadalajara
Mexico,Álvaro Fidalgo,Midfielder,29,1997-04-09,Real Betis
Mexico,Raúl Jiménez,Forward,35,1991-05-05,Fulham
Mexico,Alexis Vega,Forward,28,1997-11-25,Toluca
Mexico,Santiago Giménez,Forward,25,2001-04-18,Milan
Mexico,Carlos Acevedo,Goalkeeper,30,1996-04-19,Santos Laguna
Mexico,Guillermo Ochoa,Goalkeeper,40,1985-07-13,AEL Limassol
Mexico,Armando González,Forward,23,2003-04-20,Guadalajara
Mexico,Israel Reyes,Defender,26,2000-05-23,América
